Sample,total_reads,mapped_reads,percentage_aligned,10_x_pc,median_coverage,mean_coverage,median_insert_size,P25_Ins_size,avg_gc,Uncapped_Reads,Sub_Map_Pct_Aligned,Pct_Q30,sequenced_pool_component_id,search_id,coverage_gte_10_reads,fraction_acgt_bases,num_inserts_in_consensus,num_deletions_in_consensus,consensus_seq_name,assembly_method,timestamp,se_or_pe,seq_run,consensus_s3,trimmed_bam_s3,variants_s3,trimmed_bam_read_count,pi_metric,n_metric,bam_name,bjorn_coverage,bjorn_avg_depth,bjorn_min_coverage,bjorn_max_coverage,bjorn_num_w_zero_coverage,sample_collection_datetime,viral_load,collection_date,location
11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001,513281.0,513281.0,100.0,97.32802728823197,1182.0,2348.0232,193.0,144.0,42.20620823697987,62697312.0,0.819,99.979,11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001,11_25_24_PLNOV20_R2,0.95471569628873,0.95471569628873,2.0,41.0,Consensus_11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-10_18-05-46,pe,241205_SG_WW_3,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.variants.tsv,489776.0,0.00248618,109.0,,,,,,,,,2024-11-20,Point Loma
11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001,513281.0,513281.0,100.0,97.32802728823197,1182.0,2348.0232,193.0,144.0,42.20620823697987,62697312.0,0.819,99.979,11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001,11_25_24_PLNOV20_R2,0.95471569628873,0.95471569628873,2.0,41.0,Consensus_11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-10_18-05-46,pe,241205_SG_WW_3,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.variants.tsv,489776.0,0.00248618,109.0,11_25_24_PLNOV20_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.bam,95.3722,1712.81,0.0,16168.0,435.0,,,2024-11-20,Point Loma
11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001,261981.0,261981.0,100.0,93.41872052971274,428.0,1190.9511,150.0,144.0,43.61088765990726,47169096.0,0.555,99.98,11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001,11_25_24_ENCNOV20_R1,0.8888548474945533,0.8888548474945533,2.0,35.0,Consensus_11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-10_18-05-46,pe,241205_SG_WW_3,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001/11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001/11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001/11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.variants.tsv,251245.0,0.00196626,52.0,11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.bam,88.7891,861.838,0.0,23050.0,1191.0,,,2024-11-20,Encina
11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001,261981.0,261981.0,100.0,93.41872052971274,428.0,1190.9511,150.0,144.0,43.61088765990726,47169096.0,0.555,99.98,11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001,11_25_24_ENCNOV20_R1,0.8888548474945533,0.8888548474945533,2.0,35.0,Consensus_11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-10_18-05-46,pe,241205_SG_WW_3,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001/11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001/11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001/11_25_24_ENCNOV20_R1__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.variants.tsv,251245.0,0.00196626,52.0,,,,,,,,,2024-11-20,Encina
11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001,726777.0,726777.0,100.0,97.0036451192188,1438.0,3346.3757,150.0,144.0,43.37294330903152,27344884.0,2.658,99.982,11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001,11_25_24_ENCNOV21_R2,0.9541462418300654,0.9541462418300654,2.0,35.0,Consensus_11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-10_18-05-46,pe,241205_SG_WW_3,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.variants.tsv,707206.0,0.0020726,67.0,11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.bam,95.311,2413.0,0.0,33475.0,493.0,,,2024-11-21,Encina
11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001,1688054.0,1688054.0,100.0,98.30451794134368,3443.0,7737.7222,204.0,147.0,43.15245069305565,57460144.0,2.938,99.978,11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001,11_25_24_SBNOV21_R2,0.9757625272331156,0.9757625272331156,17.0,50.0,Consensus_11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-10_18-05-46,pe,241205_SG_WW_3,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.variants.tsv,1640525.0,0.0023463,92.0,11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.bam,97.443,5748.43,0.0,72500.0,235.0,,,2024-11-21,South Bay
11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001,726777.0,726777.0,100.0,97.0036451192188,1438.0,3346.3757,150.0,144.0,43.37294330903152,27344884.0,2.658,99.982,11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001,11_25_24_ENCNOV21_R2,0.9541462418300654,0.9541462418300654,2.0,35.0,Consensus_11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-10_18-05-46,pe,241205_SG_WW_3,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_ENCNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.variants.tsv,707206.0,0.0020726,67.0,,,,,,,,,2024-11-21,Encina
11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001,1688054.0,1688054.0,100.0,98.30451794134368,3443.0,7737.7222,204.0,147.0,43.15245069305565,57460144.0,2.938,99.978,11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001,11_25_24_SBNOV21_R2,0.9757625272331156,0.9757625272331156,17.0,50.0,Consensus_11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-10_18-05-46,pe,241205_SG_WW_3,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_3/241205_SG_WW_3_results/2024-12-10_18-05-46_pe/241205_SG_WW_3_samples/11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001/11_25_24_SBNOV21_R2__E0000000__X00__241205_SG_WW_3__001.trimmed.sorted.pileup.variants.tsv,1640525.0,0.0023463,92.0,,,,,,,,,2024-11-21,South Bay
12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001,325330.0,325330.0,100.0,92.81008594455406,563.0,1501.7907,150.0,144.0,43.07460503866521,83228022.0,0.391,99.985,12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001,12_02_24_PLNOV24_R2,0.8716639433551199,0.8716639433551199,2.0,35.0,Consensus_12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-12_02-43-41,pe,241205_SG_WW_4,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.variants.tsv,315094.0,0.00233625,90.0,12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.bam,87.0822,1085.21,0.0,18886.0,1769.0,,,2024-11-24,Point Loma
12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001,325330.0,325330.0,100.0,92.81008594455406,563.0,1501.7907,150.0,144.0,43.07460503866521,83228022.0,0.391,99.985,12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001,12_02_24_PLNOV24_R2,0.8716639433551199,0.8716639433551199,2.0,35.0,Consensus_12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-12_02-43-41,pe,241205_SG_WW_4,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV24_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.variants.tsv,315094.0,0.00233625,90.0,,,,,,,,,2024-11-24,Point Loma
12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001,415939.0,415939.0,100.0,93.71300538407516,843.0,1910.5578,195.0,146.0,42.68528812141701,87590668.0,0.475,99.985,12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001,12_02_24_PLNOV25_R2,0.8985566448801743,0.8985566448801743,2.0,35.0,Consensus_12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-12_02-43-41,pe,241205_SG_WW_4,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.variants.tsv,399555.0,0.00220501,80.0,12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.bam,89.7548,1406.49,0.0,16505.0,1341.0,,,2024-11-25,Point Loma
12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001,415939.0,415939.0,100.0,93.71300538407516,843.0,1910.5578,195.0,146.0,42.68528812141701,87590668.0,0.475,99.985,12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001,12_02_24_PLNOV25_R2,0.8985566448801743,0.8985566448801743,2.0,35.0,Consensus_12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-12_02-43-41,pe,241205_SG_WW_4,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV25_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.variants.tsv,399555.0,0.00220501,80.0,,,,,,,,,2024-11-25,Point Loma
12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001,1562389.0,1562389.0,100.0,97.7895194462094,3317.0,7247.5411,169.0,144.0,42.72560161965674,133859612.0,1.167,99.985,12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001,12_02_24_PLNOV26_R1,0.9742647058823528,0.9742647058823528,2.0,35.0,Consensus_12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-12_02-43-41,pe,241205_SG_WW_4,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.variants.tsv,1524393.0,0.00228009,98.0,12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.bam,97.3239,5349.05,0.0,75783.0,292.0,,,2024-11-26,Point Loma
12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001,322577.0,322577.0,100.0,93.8267063505334,518.0,1483.755,199.0,146.0,42.22509349038224,87609276.0,0.368,99.987,12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001,12_02_24_SBNOV26_R2,0.8935866013071896,0.8935866013071896,2.0,35.0,Consensus_12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-12_02-43-41,pe,241205_SG_WW_4,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.variants.tsv,310328.0,0.00160191,37.0,12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.bam,89.2618,1106.96,0.0,15785.0,1212.0,,,2024-11-26,South Bay
12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001,322577.0,322577.0,100.0,93.8267063505334,518.0,1483.755,199.0,146.0,42.22509349038224,87609276.0,0.368,99.987,12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001,12_02_24_SBNOV26_R2,0.8935866013071896,0.8935866013071896,2.0,35.0,Consensus_12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-12_02-43-41,pe,241205_SG_WW_4,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001/12_02_24_SBNOV26_R2__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.variants.tsv,310328.0,0.00160191,37.0,,,,,,,,,2024-11-26,South Bay
12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001,1562389.0,1562389.0,100.0,97.7895194462094,3317.0,7247.5411,169.0,144.0,42.72560161965674,133859612.0,1.167,99.985,12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001,12_02_24_PLNOV26_R1,0.9742647058823528,0.9742647058823528,2.0,35.0,Consensus_12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-12-12_02-43-41,pe,241205_SG_WW_4,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.bam,s3://ucsd-all/241205_SG_WW_4/241205_SG_WW_4_results/2024-12-12_02-43-41_pe/241205_SG_WW_4_samples/12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001/12_02_24_PLNOV26_R1__E0000000__X00__241205_SG_WW_4__001.trimmed.sorted.pileup.variants.tsv,1524393.0,0.00228009,98.0,,,,,,,,,2024-11-26,Point Loma
