Sample,total_reads,mapped_reads,percentage_aligned,10_x_pc,median_coverage,mean_coverage,median_insert_size,P25_Ins_size,avg_gc,Uncapped_Reads,Sub_Map_Pct_Aligned,Pct_Q30,sequenced_pool_component_id,search_id,coverage_gte_10_reads,fraction_acgt_bases,num_inserts_in_consensus,num_deletions_in_consensus,consensus_seq_name,assembly_method,timestamp,se_or_pe,seq_run,consensus_s3,trimmed_bam_s3,variants_s3,trimmed_bam_read_count,pi_metric,n_metric,bam_name,bjorn_coverage,bjorn_avg_depth,bjorn_min_coverage,bjorn_max_coverage,bjorn_num_w_zero_coverage,sample_collection_datetime,viral_load,collection_date,location
3.10.23.PLMAR07.R2__NA__NA__230310_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/07/23,,2023-03-07,Point Loma
3.10.23.PLMAR08.R2__NA__NA__230310_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/08/23,,2023-03-08,Point Loma
3.10.23.SBMAR09.R1__NA__NA__230310_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/09/23,,2023-03-09,South Bay
3.15.23.SBMAR12.R1__NA__NA__2300317_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/12/23,,2023-03-12,South Bay
3.17.23.PLMAR12.R1__NA__NA__2300317_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/12/23,,2023-03-12,Point Loma
3.15.23.ENCMAR13.R1__NA__NA__2300317_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/13/23,,2023-03-13,Encina
3.17.23.PLMAR13.R2__NA__NA__2300317_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/13/23,,2023-03-13,Point Loma
3.15.23.ENCMAR14.R2__NA__NA__2300317_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/14/23,,2023-03-14,Encina
3.17.23.PLMAR14.R2__NA__NA__2300317_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/14/23,,2023-03-14,Point Loma
3.22.23.SBMAR14.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/14/23 ,,2023-03-14,South Bay
3.17.23.PLMAR15.R1__NA__NA__2300317_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/15/23,,2023-03-15,Point Loma
3.22.23.SBMAR16.R2.rerun2__NA__NA__230330_WW_rerun__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/16/23,,2023-03-16,South Bay
3.23.23.ENCMAR17.R2.rerun2__NA__NA__230330_WW_rerun__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/17/23,,2023-03-17,Encina
3.29.23.PLMAR19.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/19/23,,2023-03-19,Point Loma
3.22.23.SBMAR19.R2.rerun__NA__NA__230330_WW_rerun__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/19/23,,2023-03-19,South Bay
3.29.23.PLMAR20.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/20/23,,2023-03-20,Point Loma
3.23.23.ENCMAR20.R2.rerun__NA__NA__230330_WW_rerun__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/20/23,,2023-03-20,Encina
3.29.23.SBMAR21.R1.rerun__NA__NA__230330_WW_rerun__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/21/23,,2023-03-21,South Bay
3.24.23.PLMAR21.R2.rerun2__NA__NA__230330_WW_rerun__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/21/23,,2023-03-21,Point Loma
3.23.23.ENCMAR21.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/21/23,,2023-03-21,Encina
3.24.23.PLMAR22.R1.rerun2__NA__NA__230330_WW_rerun__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/22/23,,2023-03-22,Point Loma
3.29.23.PLMAR26.R1.rerun__NA__NA__230330_WW_rerun__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/26/23,,2023-03-26,Point Loma
3.31.23.PLMAR28.R1__NA__NA__230407_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/28/23 ,,2023-03-28,Point Loma
3.31.23.PLMAR29.R2__NA__NA__230407_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/29/23,,2023-03-29,Point Loma
4.06.23.ENCMAR30.R2__NA__NA__230407_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/30/23,,2023-03-30,Encina
4.05.23.SBMAR30.R2__NA__NA__230407_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/30/23,,2023-03-30,South Bay
4.05.23.PLAPR02.R1__NA__NA__230407_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/02/23,,2023-04-02,Point Loma
4.05.23.PLAPR03.R1__NA__NA__230407_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/03/23,,2023-04-03,Point Loma
4.06.23.ENCAPR04.R1__NA__NA__230407_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/04/23,,2023-04-04,Encina
4.19.23.SBAPR04.R1__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/04/23,,2023-04-04,South Bay
4.07.23.PLAPR05.R2__NA__NA__230407_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/05/23,,2023-04-05,Point Loma
4.12.23.ENCAPR06.R2__NA__NA__230414_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/06/23 ,,2023-04-06,Encina
4.19.23.SBAPR09.R2__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/09/23,,2023-04-09,South Bay
4.12.23.PLAPR09.R1__NA__NA__230414_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/09/23,,2023-04-09,Point Loma
4.12.23.PLAPR10.R1__NA__NA__230414_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/10/23,,2023-04-10,Point Loma
4.14.23.PLAPR11.R2__NA__NA__230414_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/11/23,,2023-04-11,Point Loma
4.12.23.ENCAPR11.R1__NA__NA__230414_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/11/23 ,,2023-04-11,Encina
4.14.23.PLAPR12.R1__NA__NA__230414_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/12/23,,2023-04-12,Point Loma
4.19.23.PLAPR16.R2__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/16/23 ,,2023-04-16,Point Loma
4.19.23.SBAPR16.R2__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/16/23,,2023-04-16,South Bay
4.19.23.PLAPR17.R1__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/17/23,,2023-04-17,Point Loma
4.20.23.ENCAPR18.R1__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/18/23,,2023-04-18,Encina
4.21.23.PLAPR18.R1__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/18/23,,2023-04-18,Point Loma
4.26.23.SBAPR18.R2__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/18/23,,2023-04-18,South Bay
4.21.23.PLAPR19.R2__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/19/23,,2023-04-19,Point Loma
4.26.23.SBAPR20.R1__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/20/23,,2023-04-20,South Bay
4.27.23.ENCAPR20.R2__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/20/23,,2023-04-20,Encina
4.26.23.PLAPR23.R2__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/23/23,,2023-04-23,Point Loma
4.27.23.ENCAPR24.R1__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/24/23,,2023-04-24,Encina
4.28.23.PLAPR25.R2__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/25/23,,2023-04-25,Point Loma
4.27.23.ENCAPR25.R1__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/25/23,,2023-04-25,Encina
5.03.23.SBAPR26.R1__NA__NA__230505_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/26/23,,2023-04-26,South Bay
4.28.23.PLAPR26.R1__NA__NA__230502_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/26/23,,2023-04-26,Point Loma
5.04.23.ENCAPR28.R1__NA__NA__230505_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/28/23,,2023-04-28,Encina
5.03.23.SBAPR30.R2__NA__NA__230505_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/30/23,,2023-04-30,South Bay
5.03.23.PLAPR30.R2__NA__NA__230505_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/30/23,,2023-04-30,Point Loma
5.03.23.PLMAY01.R1__NA__NA__230505_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/01/23,,2023-05-01,Point Loma
