Sample,Collection_Date,Location
03_11_24_ENCMAR08_R2__E0000000__X00__240318_NextSeq_WW__001.sorted.bam,2024-03-08,Encina
03_11_24_ENCMAR08_R2__E0000000__X00__240318_NextSeq_WW__001,2024-03-08,Encina
03_11_24_SBMAR10_R1__E0000000__X00__240318_NextSeq_WW__001,2024-03-10,South Bay
03_18_24_PLMAR10_R1__E0000000__X00__240323_NextSeq_WW__001,2024-03-10,Point Loma
03_11_24_SBMAR10_R1__E0000000__X00__240318_NextSeq_WW__001.sorted.bam,2024-03-10,South Bay
03_18_24_PLMAR10_R1__E0000000__X00__240323_NextSeq_WW__001.sorted.bam,2024-03-10,Point Loma
03_18_24_PLMAR11_R2__E0000000__X00__240323_NextSeq_WW__001.sorted.bam,2024-03-11,Point Loma
03_18_24_PLMAR11_R2__E0000000__X00__240323_NextSeq_WW__001,2024-03-11,Point Loma
03_18_24_PLMAR12_R2__E0000000__X00__240323_NextSeq_WW__001,2024-03-12,Point Loma
03_18_24_SBMAR12_R2__E0000000__X00__240323_NextSeq_WW__001.sorted.bam,2024-03-12,South Bay
03_18_24_SBMAR12_R2__E0000000__X00__240323_NextSeq_WW__001,2024-03-12,South Bay
03_18_24_PLMAR12_R2__E0000000__X00__240323_NextSeq_WW__001.sorted.bam,2024-03-12,Point Loma
03_18_24_ENCMAR13_R1__E0000000__X00__240323_NextSeq_WW__001,2024-03-13,Encina
03_18_24_ENCMAR13_R1__E0000000__X00__240323_NextSeq_WW__001.sorted.bam,2024-03-13,Encina
03_18_24_PLMAR13_R2__E0000000__X00__240323_NextSeq_WW__001,2024-03-13,Point Loma
03_18_24_PLMAR13_R2__E0000000__X00__240323_NextSeq_WW__001.sorted.bam,2024-03-13,Point Loma
03_18_24_ENCMAR15_R1__E0000000__X00__240323_NextSeq_WW__001.sorted.bam,2024-03-15,Encina
03_18_24_ENCMAR15_R1__E0000000__X00__240323_NextSeq_WW__001,2024-03-15,Encina
03_18_24_SBMAR17_R2__E0000000__X00__240323_NextSeq_WW__001,2024-03-17,South Bay
03_25_24_PLMAR17_R2__E0000000__X00__240401_NextSeq_WW__001,2024-03-17,Point Loma
03_18_24_SBMAR17_R2__E0000000__X00__240323_NextSeq_WW__001.sorted.bam,2024-03-17,South Bay
03_25_24_PLMAR17_R2__E0000000__X00__240401_NextSeq_WW__001.sorted.bam,2024-03-17,Point Loma
03_25_24_PLMAR18_R1__E0000000__X00__240401_NextSeq_WW__001.sorted.bam,2024-03-18,Point Loma
03_25_24_PLMAR18_R1__E0000000__X00__240401_NextSeq_WW__001,2024-03-18,Point Loma
03_25_24_ENCMAR19_R2__E0000000__X00__240401_NextSeq_WW__001.sorted.bam,2024-03-19,Encina
03_25_24_SBMAR19_R2__E0000000__X00__240401_NextSeq_WW__001,2024-03-19,South Bay
03_25_24_PLMAR19_R2__E0000000__X00__240401_NextSeq_WW__001.sorted.bam,2024-03-19,Point Loma
03_25_24_SBMAR19_R2__E0000000__X00__240401_NextSeq_WW__001.sorted.bam,2024-03-19,South Bay
03_25_24_PLMAR19_R2__E0000000__X00__240401_NextSeq_WW__001,2024-03-19,Point Loma
03_25_24_ENCMAR19_R2__E0000000__X00__240401_NextSeq_WW__001,2024-03-19,Encina
03_25_24_ENCMAR20_R1__E0000000__X00__240401_NextSeq_WW__001.sorted.bam,2024-03-20,Encina
